BMW,X3,2017 ,65000,Diesel,190,1995,4x4,Automatic,6,SUV,29869
Renault,Laguna,2012 ,200000,Diesel,110,1461,Front,Manual,5,Sedan,5490
Peugeot,207,2007 ,67852,Petrol,90,1360,Front,Manual,4,Small car,2650
Honda,Accord,2014 ,133000,Petrol,156,1997,Front,Manual,5,Sedan,13200
Opel,Astra,2016 ,187000,Diesel,136,1598,Front,Manual,6,Combi,8240
Skoda,Octavia,2013 ,176000,Diesel,105,1598,Front,Manual,5,Combi,5650
Audi,A4,2010 ,234835,Diesel,143,1968,Front,Manual,5,Combi,6750
Opel,Corsa,2008 ,247000,Diesel,75,1248,Front,Manual,4,Small car,3499
BMW,X1,2015 ,196000,Diesel,143,1995,Rear,Manual,5,SUV,11200
Dacia,Dokker,2018 ,230000,Diesel,75,1461,Front,Manual,6,Minivan,7650
Skoda,Octavia,2018 ,195325,Diesel,116,1598,Front,Manual,6,Sedan,11990
Dacia,Dokker,2016 ,89679,Diesel,90,1461,Front,Manual,6,Minivan,7989
Volkswagen,Passat,2017 ,142000,Diesel,190,1968,4x4,Automatic,6,Combi,19899
Skoda,RAPID,2014 ,227100,Diesel,90,1598,Front,Manual,5,Small car,6300
Seat,Altea,2010 ,278000,Diesel,170,1968,Front,Manual,5,Minivan,4890
Ford,Mondeo,2016 ,229360,Diesel,115,1560,Front,Manual,5,Combi,8950
Volkswagen,Tiguan,2017 ,60331,Diesel,190,1968,4x4,Automatic,6,SUV,24990
Fiat,Grande Punto,2007 ,159463,Diesel,75,1248,Front,Manual,5,Compact,1700
Audi,A4,2015 ,146700,Diesel,150,1968,Front,Automatic,5,Sedan,14570
BMW,Seria 3,2010 ,202000,Diesel,143,1995,Rear,Automatic,5,Sedan,8190
Mercedes-Benz,S,2015 ,168890,Petrol,455,4663,4x4,Automatic,6,Coupe,52980
BMW,Seria 3,2017 ,115000,Diesel,190,1995,4x4,Automatic,6,Sedan,22978
Volkswagen,Polo,2011 ,168400,Diesel,75,1199,Front,Manual,5,Small car,4850
Volkswagen,Golf,2006 ,147000,Petrol,75,1390,Front,Manual,5,Coupe,2350
Mercedes-Benz,Vito,2007 ,290000,Diesel,115,2148,Rear,Manual,4,Minivan,4900
Volkswagen,Passat,2009 ,265000,Diesel,140,1968,Front,Automatic,5,Combi,5990
Mercedes-Benz,E,2015 ,190000,Diesel,136,2143,Rear,Automatic,6,Sedan,11900
Nissan,Pulsar,2015 ,176340,Diesel,110,1461,Front,Manual,5,Compact,7440
BMW,X3,2017 ,37138,Diesel,190,1995,4x4,Manual,6,SUV,25704
BMW,Seria 3,2009 ,322648,Diesel,177,1995,Rear,Manual,5,Combi,5500
Mercedes-Benz,Viano,2012 ,319000,Diesel,163,2143,Rear,Automatic,5,Minivan,13500
BMW,Seria 6,2013 ,130000,Diesel,313,2993,Rear,Automatic,5,Coupe,24000
Audi,A5,2007 ,258000,Diesel,245,2967,4x4,Manual,4,Coupe,7799
Mercedes-Benz,S,2015 ,190000,Diesel,258,2987,Rear,Automatic,6,Sedan,27900
Renault,Laguna,2007 ,150000,Petrol,170,1998,Front,Manual,4,Sedan,1900
BMW,X5,2012 ,219000,Diesel,245,2993,4x4,Automatic,5,SUV,14000
Hyundai,ix35,2014 ,90400,Diesel,184,1995,4x4,Manual,5,SUV,11990
BMW,Seria 1,2011 ,215800,Diesel,143,1995,Rear,Manual,5,Compact,7989
Hyundai,Elantra,2013 ,74000,Petrol,132,1591,Front,Automatic,5,Sedan,8200
Mazda,6,2011 ,178400,Diesel,180,2184,Front,Manual,5,Sedan,6990
Opel,Astra,2007 ,224000,Diesel,125,1698,Front,Manual,4,Combi,3190
Volkswagen,Polo,2004 ,387000,Diesel,75,1422,Front,Manual,4,Small car,1799
Ford,C-MAX,2011 ,241000,Diesel,115,1560,Front,Manual,5,Minivan,6190
Hyundai,Santa Fe,2015 ,280000,Diesel,197,2199,4x4,Automatic,5,SUV,11999
Mazda,2,2011 ,190000,Diesel,105,1499,Front,Manual,5,Compact,4599
Mazda,6,2009 ,212000,Diesel,140,1998,Front,Manual,4,Sedan,5800
Honda,Accord,2010 ,206000,Petrol,156,1997,Front,Manual,5,Sedan,6850
Smart,Forfour,2005 ,169000,Petrol,95,1332,Front,Manual,4,Small car,2390
Volkswagen,Golf,2018 ,96000,Diesel,115,1598,Front,Manual,6,Small car,12990
Audi,A3,2009 ,130000,Petrol,160,1798,Front,Manual,5,Compact,6499
Audi,A4,2009 ,157000,Petrol,120,1798,Front,Manual,5,Sedan,6990
Mercedes-Benz,GLE,2019 ,19850,Diesel,245,1950,4x4,Automatic,6,SUV,61000
Audi,Q3,2013 ,214000,Diesel,177,1968,4x4,Automatic,5,SUV,14350
Renault,Grand Scenic,2010 ,226104,Diesel,110,1461,Front,Manual,5,Minivan,3750
Audi,A3,2009 ,260000,Diesel,105,1896,Front,Manual,4,Small car,5990
Peugeot,307,2007 ,196000,Petrol,88,1360,Front,Manual,4,Coupe,2199
Volkswagen,Golf,2010 ,197800,Diesel,105,1598,Front,Automatic,5,Compact,5350
Skoda,100,2003 ,320224,Diesel,90,1900,Front,Manual,4,Sedan,3100
Opel,Astra,2009 ,120000,Petrol,116,1598,Front,Manual,4,Small car,3700
Volkswagen,Passat,2010 ,278000,Diesel,110,1968,Front,Manual,5,Combi,5690
Mercedes-Benz,S,2015 ,190000,Diesel,258,2987,Rear,Automatic,6,Sedan,27900
Hyundai,ix35,2012 ,131000,Diesel,136,1995,4x4,Manual,5,SUV,10990
Mercedes-Benz,E,2019 ,15500,Petrol,245,1991,Rear,Automatic,6,Cabrio,55454
Dacia,Duster,2015 ,138000,Petrol,125,1197,Front,Manual,5,SUV,6999
Seat,Exeo,2010 ,166000,Diesel,120,1968,Front,Manual,5,Sedan,6800
Subaru,Forester,2002 ,276000,Petrol,125,1994,4x4,Manual,4,Combi,2499
Audi,A4,2010 ,275000,Diesel,136,1968,Front,Manual,5,Sedan,7000
Volkswagen,Golf,2009 ,233000,Diesel,110,1968,Front,Manual,5,Compact,5799
BMW,Seria 5,2011 ,174000,Diesel,245,2993,Rear,Manual,5,Sedan,11500
Volkswagen,Golf,2018 ,96000,Diesel,115,1598,Front,Manual,6,Small car,12990
Kia,Sorento,2006 ,216898,Diesel,140,2500,4x4,Manual,4,SUV,3499
Volkswagen,Touran,2014 ,210000,Diesel,110,1598,Front,Manual,5,Minivan,7999
Volkswagen,Golf,2005 ,167000,Diesel,105,1896,Front,Manual,4,Small car,3100
Ford,Focus,2011 ,215000,Diesel,90,1560,Front,Manual,5,Small car,5750
Ford,Fiesta,2009 ,205800,Diesel,90,1560,Front,Manual,4,Small car,3650
Renault,Megane,2008 ,241000,Diesel,130,1870,Front,Manual,4,Small car,2850
Opel,Astra,2018 ,179000,Diesel,136,1598,Front,Manual,6,Compact,9390
Peugeot,2008,2014 ,130000,Diesel,115,1560,Front,Manual,5,Minivan,7400
Renault,Scenic,2012 ,242000,Diesel,110,1461,Front,Manual,5,Minivan,4950
BMW,Seria 5,2005 ,2580000,Diesel,177,2497,Rear,Automatic,4,Sedan,4690
BMW,X6,2015 ,195000,Diesel,258,2993,4x4,Automatic,6,SUV,27500
Skoda,Fabia,2007 ,489000,Diesel,80,1422,Front,Manual,4,Combi,1899
